年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
96,9,10238,1289,1014,692,973,915,1350,249,204,312,658,308,480,334,549,176,221,58,163,150,112,27,4
96,10,12260,1520,1248,822,1167,1117,1511,315,291,367,768,385,582,424,634,194,312,68,206,167,135,25,2
96,11,11510,1404,1254,725,1073,1050,1403,272,247,358,727,350,554,394,603,204,272,61,197,202,124,33,3
96,12,11913,1529,1255,778,1157,1071,1458,322,269,365,729,343,536,382,667,178,293,57,201,161,135,24,3
97,1,12897,1633,1357,914,1265,1173,1487,345,308,398,797,360,593,451,673,185,280,66,242,162,167,36,5
97,2,12805,1595,1326,876,1167,1214,1535,309,308,414,801,375,579,468,651,205,298,75,241,195,141,27,5
97,3,13378,1699,1509,906,1327,1208,1615,307,303,383,781,408,582,476,632,230,268,83,258,227,129,46,1
97,4,12195,1490,1322,859,1172,1097,1449,291,270,387,790,357,539,415,650,175,277,71,216,172,145,46,5
97,5,11594,1488,1323,789,1110,1026,1390,257,247,350,711,336,494,380,594,184,262,72,224,199,114,41,3
97,6,11104,1447,1231,796,1065,988,1333,265,238,335,637,311,511,391,561,148,249,53,204,170,139,29,3
97,7,11696,1453,1264,783,1135,1041,1477,264,246,332,658,353,559,374,645,191,242,70,235,208,136,28,2
97,8,10782,1370,1184,694,1017,964,1334,249,248,337,661,333,490,349,571,167,238,72,203,152,120,26,3
97,9,11245,1364,1191,731,1102,1029,1460,275,255,297,682,358,502,357,650,168,260,40,197,174,119,31,3
97,10,12040,1488,1316,782,1182,1099,1478,315,273,328,778,376,510,412,605,196,245,52,231,179,154,35,6
97,11,10487,1256,1165,664,1002,971,1287,225,235,298,656,294,489,410,585,143,247,55,176,168,136,23,2
97,12,13401,1599,1418,883,1282,1230,1672,339,347,396,802,430,628,481,706,208,304,56,220,194,160,42,4
98,1,9689,1193,1015,672,920,922,1157,218,218,292,581,296,470,319,514,149,210,47,169,170,117,37,3
98,2,15877,1957,1649,1128,1534,1464,2015,378,370,495,988,472,674,517,820,237,324,78,292,246,194,40,5
98,3,12635,1595,1331,924,1247,1095,1511,261,316,359,779,413,570,406,652,209,298,58,224,196,153,34,4
98,4,11953,1578,1302,839,1175,1000,1424,269,259,359,785,343,539,359,595,190,251,68,228,186,150,49,5
98,5,10327,1295,1131,663,1047,924,1256,276,213,340,614,329,462,329,503,160,224,59,176,169,119,35,3
98,6,12422,1595,1393,798,1201,1131,1566,293,262,387,740,380,558,399,613,186,252,80,208,186,149,43,2
98,7,11609,1420,1338,850,1100,1017,1387,271,273,324,695,343,531,390,603,200,250,63,220,173,111,49,1
98,8,11824,1409,1217,740,1096,1058,1936,235,225,319,735,330,485,412,586,187,280,63,199,159,118,29,6
98,9,11610,1469,1234,744,1043,1106,1486,256,230,353,701,306,548,414,591,191,265,77,206,173,176,38,3
98,10,11476,1444,1174,775,1075,1007,1486,254,276,337,702,341,515,422,615,200,236,53,206,182,134,36,6
98,11,11450,1404,1147,816,1141,1081,1427,283,252,339,703,327,509,371,606,184,246,49,218,172,136,36,3
98,12,12710,1600,1329,841,1226,1185,1538,307,280,378,772,371,585,421,689,219,263,61,231,200,164,45,5
99,1,12496,1588,1334,897,1273,1095,1472,282,279,360,810,370,612,429,645,195,229,55,204,190,140,32,5
99,2,11150,1368,1193,797,1092,1023,1346,272,277,352,656,356,464,403,549,175,232,74,195,176,120,28,2
99,3,13943,1791,1454,957,1346,1261,1687,320,339,452,879,425,587,430,707,221,293,81,254,229,166,56,8
99,4,12125,1510,1338,857,1253,1018,1432,311,270,357,763,348,530,420,618,204,254,81,211,174,133,41,2
99,5,11379,1455,1204,813,1127,1006,1373,246,278,364,726,343,459,387,550,180,260,56,214,176,123,33,6
99,6,11714,1542,1265,806,1160,1050,1429,270,289,299,715,320,490,381,591,185,260,69,227,168,155,40,3
99,7,12259,1531,1334,870,1216,1116,1528,256,251,362,774,359,531,415,618,200,230,71,233,180,153,27,4
99,8,12184,1539,1236,816,1169,1170,1607,271,281,333,711,329,540,378,663,166,279,88,229,171,159,45,4
99,9,11722,1435,1206,753,1132,1095,1517,284,277,369,692,387,484,399,625,170,244,63,203,187,154,42,4
99,10,11469,1472,1196,767,1105,1048,1461,262,249,335,691,321,500,392,578,195,255,75,211,154,152,45,5
99,11,12444,1576,1326,905,1199,1139,1506,295,303,347,737,335,532,477,624,182,272,67,243,179,153,44,3
99,12,12887,1597,1312,945,1268,1185,1643,299,290,372,780,361,550,459,642,203,291,68,241,196,135,48,2
100,1,14313,1824,1531,1037,1395,1325,1750,311,347,446,877,424,587,439,731,199,284,93,251,226,188,47,1
100,2,12783,1656,1385,962,1298,1202,1527,294,306,403,754,388,483,416,590,213,247,72,202,179,145,59,2
100,3,16007,2121,1724,1223,1519,1413,1878,376,369,502,946,480,659,562,777,212,313,100,319,262,181,67,4
100,4,13306,1747,1431,988,1343,1162,1576,304,344,410,795,374,588,421,655,220,247,87,231,205,129,42,7
100,5,12905,1684,1294,911,1251,1108,1645,306,285,395,815,388,565,417,642,213,297,66,233,202,148,37,3
100,6,12098,1496,1276,845,1188,1121,1564,268,256,368,753,360,503,402,624,167,244,81,211,189,133,47,2
100,7,11141,1386,1200,738,1085,1058,1391,235,216,343,666,370,441,386,569,180,235,57,203,180,141,53,8
100,8,12287,1621,1273,855,1138,1076,1555,275,282,323,740,366,574,405,651,213,263,65,228,196,146,39,3
100,9,11660,1503,1176,760,1112,1099,1464,286,262,339,751,348,483,390,641,187,261,72,186,151,139,46,4
100,10,11581,1538,1156,837,1129,1053,1469,267,241,320,729,333,504,367,633,167,230,74,200,159,122,45,8
100,11,12109,1562,1245,821,1195,1114,1469,280,282,328,742,367,536,390,684,169,247,76,240,191,126,39,6
100,12,12725,1636,1297,901,1262,1210,1557,288,268,348,781,380,555,450,676,189,269,67,221,199,141,29,1
101,1,12991,1639,1419,904,1276,1226,1576,301,301,410,765,360,587,416,654,197,263,77,222,200,142,54,2
101,2,14318,1852,1535,1079,1449,1282,1756,310,302,455,875,401,655,486,661,220,277,83,226,217,146,49,2
101,3,14487,1911,1573,1109,1410,1241,1720,287,309,456,933,437,623,475,676,209,289,83,273,248,163,57,5
101,4,12919,1738,1387,952,1283,1158,1604,287,304,369,799,346,521,436,622,210,260,70,212,209,111,35,6
101,5,13120,1662,1362,980,1267,1148,1643,297,305,389,804,431,592,432,665,196,250,79,230,193,142,49,4
101,6,11719,1519,1291,813,1120,1017,1421,250,272,341,721,381,506,384,618,171,265,59,198,183,148,40,1
101,7,13576,1858,1476,962,1335,1266,1634,312,277,347,843,396,569,429,674,206,265,69,240,202,153,59,4
101,8,12726,1683,1375,873,1241,1174,1589,272,291,373,753,368,507,412,678,210,255,62,233,177,152,44,4
101,9,11359,1483,1185,788,1054,983,1519,239,222,331,740,344,496,381,601,171,242,50,179,179,134,35,3
101,10,13107,1710,1424,894,1272,1196,1618,322,299,379,769,372,539,447,671,229,286,66,228,194,134,55,3
101,11,12086,1609,1274,807,1156,1085,1480,291,241,370,711,346,568,362,635,197,281,66,234,170,155,45,3
101,12,11843,1616,1278,816,1154,1095,1385,308,267,312,657,360,517,427,572,209,234,64,206,195,120,49,2
102,1,15352,2029,1584,1030,1492,1451,1876,333,329,490,962,475,662,519,750,220,311,68,266,281,168,53,3
102,2,11838,1541,1258,817,1124,1113,1488,258,286,335,724,339,506,380,564,187,222,68,225,208,153,40,2
102,3,13708,1959,1493,1012,1286,1188,1604,285,327,453,803,407,590,430,667,198,263,80,232,208,169,49,5
102,4,13176,1767,1405,969,1276,1185,1528,292,275,430,782,376,582,450,659,192,289,52,241,229,136,55,6
102,5,12973,1777,1366,895,1217,1161,1548,282,316,380,768,393,590,433,676,210,264,62,241,185,156,45,8
102,6,11499,1501,1211,774,1176,1032,1459,264,270,347,635,339,458,379,580,176,252,56,199,199,148,39,5
102,7,13618,1725,1368,964,1333,1258,1701,366,290,418,825,378,631,432,661,197,296,65,255,234,169,41,11
102,8,12063,1617,1225,849,1273,978,1517,273,309,326,706,346,544,382,583,183,258,89,225,216,126,30,8
102,9,12365,1599,1313,864,1160,1130,1588,264,253,349,757,385,561,437,575,202,246,62,230,197,146,40,7
102,10,13253,1835,1356,926,1307,1200,1709,299,280,383,748,408,562,430,629,211,282,65,243,170,155,53,2
102,11,12218,1602,1320,867,1165,1067,1537,286,275,382,745,353,490,397,610,191,266,62,205,199,144,50,5
102,12,13845,1794,1480,1005,1329,1258,1722,329,305,377,843,418,649,458,650,190,275,57,268,207,181,49,1
103,1,13935,1910,1436,1004,1339,1259,1722,353,322,407,824,441,559,474,673,213,281,71,235,193,167,45,7
103,2,15349,2031,1626,1126,1476,1403,1817,368,333,472,864,448,701,544,736,230,311,88,261,250,193,62,9
103,3,15465,2104,1699,1173,1468,1263,1836,346,394,515,939,448,662,519,730,221,306,73,295,235,176,58,5
103,4,14114,1977,1536,1004,1362,1186,1685,298,319,440,837,394,634,511,695,230,261,71,217,230,169,53,5
