年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
95,5,7085,944,712,541,665,624,893,166,169,190,415,199,340,230,335,127,164,36,125,127,62,19,2
95,6,7057,918,731,482,683,584,828,171,156,225,462,217,295,226,356,138,199,47,130,111,80,17,1
95,7,7023,827,668,482,718,630,929,159,156,207,467,192,329,226,362,148,169,27,126,97,82,21,1
95,8,7178,906,728,564,659,671,858,153,163,205,408,225,307,237,389,123,169,43,151,109,86,23,1
95,9,6501,776,643,496,557,613,834,176,150,221,394,178,297,196,360,101,174,19,101,106,82,27,0
95,10,7094,890,750,521,646,639,885,163,152,222,450,180,357,232,372,112,168,39,119,95,78,22,2
95,11,6969,870,697,493,686,607,873,154,138,218,441,224,302,223,396,112,175,25,140,93,73,27,2
95,12,6770,823,652,488,659,601,890,178,141,202,392,184,299,251,357,135,145,34,139,100,78,19,3
96,1,8190,1050,813,567,770,751,988,184,189,260,516,248,370,260,426,164,204,50,141,124,88,26,1
96,2,6273,727,635,412,606,585,799,148,110,219,363,201,287,201,348,140,145,33,133,97,68,16,0
96,3,8706,1076,878,663,849,777,1082,221,203,283,534,244,377,263,443,131,189,41,171,145,100,32,4
96,4,7183,886,792,564,659,614,924,149,135,203,424,235,344,242,360,95,168,48,125,120,73,18,5
96,5,7383,988,723,556,656,634,912,153,157,236,473,228,309,240,402,127,180,31,150,113,91,22,2
96,6,6503,838,700,456,650,573,772,142,132,179,410,209,283,209,298,107,161,35,139,115,73,21,1
96,7,7297,928,759,518,707,634,884,147,127,199,456,214,335,256,386,149,187,37,135,120,89,27,3
96,8,7167,908,744,506,684,644,901,164,130,214,414,233,311,219,389,127,176,42,132,120,81,25,3
96,9,6376,826,606,466,575,540,850,159,144,180,415,183,288,210,360,117,140,33,106,86,76,15,1
96,10,7557,963,759,546,695,673,933,185,192,234,454,238,339,254,403,125,213,43,119,88,86,14,1
96,11,7089,905,755,448,676,626,855,164,161,232,430,195,323,229,381,148,173,43,127,124,75,17,2
96,12,7305,979,738,513,693,620,937,196,164,224,415,203,325,216,402,118,204,37,126,93,83,19,0
97,1,7924,1036,789,578,782,696,962,225,180,245,475,208,348,279,411,128,181,33,146,103,91,24,4
97,2,7989,1002,839,561,724,720,999,183,180,263,493,240,347,281,406,130,193,52,146,119,89,17,5
97,3,8298,1056,926,615,843,732,994,185,200,237,476,238,344,268,399,151,189,47,147,146,78,27,0
97,4,7469,925,762,567,708,634,929,180,164,247,475,217,306,250,399,118,175,50,135,116,82,25,5
97,5,7116,928,784,527,667,613,864,165,143,201,411,203,303,249,367,128,174,42,127,130,72,16,2
97,6,6819,924,721,539,656,583,819,163,152,213,389,182,290,229,335,89,164,33,131,113,78,14,2
